plant_id,plant_name,energy_type,plant_capacity_mw,location_city,location_state,location_country,commissioning_date,operator_name,production_date,energy_generated_mwh,energy_consumed_mwh,net_energy_mwh,capacity_factor_pct,efficiency_pct,grid_feed_in_mwh,revenue_eur,operating_cost_eur,maintenance_cost_eur,co2_emissions_tons,co2_avoided_tons,weather_condition,temperature_avg_c,wind_speed_ms,solar_irradiance_wm2,downtime_hours,downtime_reason,safety_incidents,compliance_status,certification,subsidy_received_eur,created_at
PWR-202300000,Solar Park North 95,solar,543.6,Stuttgart,Brandenburg,Germany,2021-07-01,Local Energy ,2022-05-30,3991.53,71.28,3920.25,28.16,57.02,1225.07,243827.7,193169.09,29162.76,2153.02,8845.22,Cloudy,38.0,2.85,1045.63,139.96,Grid Outage,3,pending,TUV,24875.5,2023-10-24 04:12:00
PWR-202300001,Hydro Park South 29,WIND,462.38,Frankfurt,Baden-Wurttemberg,Germany,2018-05-10,Orsted AG,2022-06-01,3954.92,239.2,3715.72,88.09,34.32,3188.21,345386.44,23792.12,33512.17,4649.97,3387.18,cloudy,3.1,28.96,783.86,27.03,Grid Outage,2,compliant,TUV,94368.26,2023-02-09 07:47:00
PWR-202300002,Wind Park North 87,Hydro,742.86,Munich,Niedersachsen,DE,23 Mar 2023,EnBW GmbH,07/31/2023,1912.83,161.76,1751.07,13.06,89.55,4435.48,139771.62,53118.26,47631.36,2422.57,7335.05,Windy,32.3,3.46,926.09,45.21,Equipment Failure,1,pending,ISO 14001,0.0,2023-05-02 05:06:00
PWR-202300003,Geothermal Park North 76,Nuclear,338.16,Dresden,Niedersachsen,Germany,2016-07-30,NextEra AG,2022-09-10,2842.05,222.37,2619.68,64.89,30.94,3468.77,205875.67,30711.51,48560.92,4665.96,5862.7,sunny,8.9,5.22,1044.93,42.78,Unscheduled Repair,1,pending,ISO 14001,38764.6,2023-01-03 10:26:00
PWR-202300004,Biomass Park North 4,Geothermal,582.07,Dresden,Hessen,Deutschland,05-03-2018,EnBW Ltd,2024-10-04,258.64,443.46,-184.82,48.27,74.77,187.81,272990.34,176877.12,16036.64,4311.53,1523.25,cloudy,-3.4,26.54,778.41,17.95,Grid Outage,1,Non-Compliant,,0.0,2023-04-21 16:42:00
PWR-202300005,Solar Park South 30,solar,136.47,Cologne,Bayern,Germany,15/02/2014,NextEra Inc,01/23/2022,4334.49,253.75,4080.74,89.81,67.2,1496.93,337086.79,108422.4,43399.46,500.66,9328.33,sunny,27.0,28.01,430.02,12.18,Scheduled Service,1,Under Review,ISO 50001,95768.21,2023-05-19 10:00:00
PWR-202300006,Geothermal Park Central 4,wind,408.33,Munich,NRW,Germany,2025-10-28,Statkraft Inc,2023-10-19,4595.52,154.68,4440.84,21.73,25.04,1131.67,290737.23,105108.78,18824.87,2370.73,902.72,Foggy,32.0,18.49,408.14,101.62,,3,pending,ISO 14001,0.0,2023-02-25 00:03:00
PWR-202300007,Geothermal Park South 92,Solar,749.23,Munich,NRW,GERMANY,2015-12-11,EnBW ,03 Jun 2024,3386.12,317.43,3068.69,88.08,56.13,1910.01,55102.79,133360.81,7278.06,1385.47,799.35,Cloudy,-2.6,27.46,607.95,136.84,,0,compliant,Green Energy,39019.81,2023-10-28 22:07:00
PWR-202300008,Geothermal Park West 29,SOLAR,146.47,Frankfurt,Niedersachsen,DE,2014-06-01,Iberdrola Inc,2022-07-17,4963.85,184.65,4779.2,32.17,83.59,3796.68,496255.53,124454.73,41250.65,3729.91,602.36,sunny,16.5,23.04,843.2,113.75,Equipment Failure,2,pending,TUV,17967.44,2023-11-17 13:56:00
PWR-202300009,Biomass Park Central 36,Solar,723.0,Frankfurt,Sachsen,Deutschland,2015-02-17,E.ON ,2025-07-16,3918.73,210.64,3708.09,23.49,20.19,3591.18,2672.95,16713.36,29616.63,2030.25,5055.01,Stormy,-2.3,3.03,276.19,76.29,Grid Outage,0,compliant,None,22175.87,2023-07-19 14:33:00
